,Total Employees,Tech/No Tech,Tech Role,MH Benefits,Awareness of Company MH Care,Formal MH Discussion,MH Resources,Anonymity,Medical Leave,MH Negative Impact,PH Negative Impact,Telling Coworkers,Telling Supervisors,MH PH Equal,Observed Negative Impact,Previous Employers,PH Potential Employer,MH Potential Employer,MH Identification Career Harm,Negative Impact Coworkers,Sharing w/ Family/Friends,Prev Observed Unsupportive Response,MH Family History,Past Mental Disorder,Current Mental Disorder,Professional Diagnosis,Sought Treatment,MH Interference Treatment,MH Interference No Treatment,Age,Gender,Country,State,Position,Remote
1055,1,1.0,1.0,Not eligible for coverage / N/A,I am not sure,No,I don't know,No,2,No,No,Yes,Yes,Yes,No,1,No,No,Yes,Maybe,Not applicable to me (I do not have a mental illness),Yes,Yes,No,No,No,0,Not applicable to me,Not applicable to me,3,Female,Australia,9,DevOps/SysAdmin|Designer|Front-end Developer|Back-end Developer,Always
1056,4,1.0,1.0,Yes,I am not sure,No,Yes,I don't know,4,Maybe,Maybe,No,Maybe,No,No,1,Maybe,No,Yes,Maybe,Somewhat open,Maybe,No,Yes,Yes,Yes,1,Rarely,Often,2,Male,USA,3,DevOps/SysAdmin,Sometimes
1057,6,1.0,1.0,Not eligible for coverage / N/A,I am not sure,Yes,Yes,I don't know,4,Yes,No,No,No,No,No,1,No,No,Yes,Yes,Somewhat open,No,Yes,Yes,Yes,Yes,1,Never,Often,2,Male,Australia,9,Front-end Developer|Back-end Developer|DevOps/SysAdmin,Sometimes
1059,6,0.0,0.0,Yes,No,No,Yes,Yes,0,Yes,Yes,No,No,I don't know,No,0,No,No,Yes,Yes,Not open at all,I am not sure,No,Yes,Yes,Yes,1,Sometimes,Often,2,Male,USA,4,DevOps/SysAdmin,Never
1061,2,1.0,1.0,No,I am not sure,No,No,I don't know,0,Maybe,No,Maybe,Maybe,No,No,1,Yes,No,Maybe,Maybe,Somewhat open,I am not sure,No,Yes,Maybe,No,0,Sometimes,Often,2,Male,UK,9,Front-end Developer,Never
1062,4,1.0,1.0,Not eligible for coverage / N/A,I am not sure,Yes,No,I don't know,4,Maybe,No,No,No,I don't know,No,1,No,No,Yes,Maybe,Somewhat open,Yes,Yes,Yes,Yes,Yes,1,Rarely,Often,3,Other,Other,9,Back-end Developer,Never
1063,3,1.0,1.0,I don't know,I am not sure,No,No,Yes,2,No,No,Maybe,Maybe,Yes,No,1,No,No,Maybe,Maybe,Somewhat open,No,No,Maybe,Maybe,No,0,Sometimes,Sometimes,3,Male,Germany,9,Front-end Developer|Back-end Developer|Other,Sometimes
1064,6,1.0,1.0,Yes,No,Yes,No,Yes,2,Maybe,No,Yes,Yes,Yes,No,0,No,No,Yes,Yes,Somewhat not open,No,No,No,No,No,1,Sometimes,Sometimes,3,Male,USA,1,Other,Sometimes
1065,6,1.0,1.0,No,No,Yes,No,I don't know,1,Maybe,No,No,Maybe,Yes,No,1,Maybe,No,Yes,Yes,Somewhat open,No,No,Yes,Yes,Yes,1,Rarely,Often,3,Male,Australia,9,Back-end Developer,Sometimes
1067,6,1.0,1.0,Yes,I am not sure,No,I don't know,No,4,Yes,Yes,Maybe,No,No,No,1,No,No,Yes,Yes,Somewhat open,Yes,Yes,Yes,Maybe,No,1,Sometimes,Often,4,Male,USA,1,Other|Dev Evangelist/Advocate,Sometimes
1068,6,1.0,1.0,Yes,I am not sure,Yes,Yes,Yes,1,No,No,Maybe,Yes,I don't know,No,1,Maybe,Maybe,Maybe,No,Somewhat open,Yes,I don't know,Yes,Yes,Yes,1,Rarely,Sometimes,4,Male,Australia,9,Back-end Developer,Sometimes
1069,3,1.0,1.0,No,I am not sure,No,No,I don't know,3,Maybe,No,Maybe,Yes,Yes,No,1,Yes,Yes,Yes,Maybe,Neutral,Yes,No,Maybe,No,No,1,Sometimes,Sometimes,3,Male,Other,9,DevOps/SysAdmin|Supervisor/Team Lead,Sometimes
1070,6,1.0,1.0,Yes,Yes,No,Yes,Yes,5,Yes,Yes,Yes,No,No,No,1,Yes,No,Yes,No,Very open,No,No,Yes,No,Yes,1,Sometimes,Often,5,Male,Canada,9,Full track,Sometimes
1071,4,1.0,1.0,I don't know,I am not sure,I don't know,I don't know,No,0,No,No,No,Maybe,Yes,No,1,No,No,Maybe,No,Somewhat open,Maybe,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,4,Male,USA,3,Full track,Never
1072,4,1.0,1.0,Yes,No,No,Yes,I don't know,5,Yes,Maybe,No,No,No,No,1,Maybe,No,Yes,Yes,Somewhat open,No,I don't know,No,Maybe,No,1,Never,Sometimes,4,Male,USA,2,Support|Sales|Designer,Sometimes
1073,6,0.0,0.0,Not eligible for coverage / N/A,I am not sure,Yes,Yes,Yes,0,Yes,Maybe,No,Maybe,I don't know,No,1,No,No,Yes,Yes,Somewhat not open,Yes,Yes,Yes,No,No,1,Sometimes,Often,5,Male,USA,2,Back-end Developer,Sometimes
1075,6,1.0,1.0,Yes,Yes,No,No,Yes,0,Maybe,No,Maybe,Maybe,No,No,1,No,No,Maybe,No,Neutral,No,No,Yes,No,Yes,0,Never,Sometimes,4,Male,Other,9,Back-end Developer,Always
1077,4,1.0,1.0,Not eligible for coverage / N/A,I am not sure,Yes,I don't know,I don't know,2,No,No,Maybe,Maybe,Yes,No,1,Yes,Maybe,Maybe,Maybe,Somewhat open,Maybe,I don't know,No,Maybe,No,1,Not applicable to me,Not applicable to me,3,Male,Other,9,Supervisor/Team Lead|DevOps/SysAdmin|Back-end Developer|Front-end Developer,Sometimes
1079,4,1.0,1.0,No,I am not sure,No,No,I don't know,2,Maybe,No,No,Maybe,No,Yes,1,Maybe,No,Yes,Maybe,Somewhat open,Yes,Yes,Yes,Maybe,Yes,1,Rarely,Sometimes,4,Male,Australia,9,Executive Leadership,Sometimes
1080,6,1.0,1.0,Yes,No,No,I don't know,I don't know,5,Maybe,No,Maybe,Maybe,I don't know,No,1,Maybe,No,Yes,Yes,Somewhat open,Maybe,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,3,Male,USA,6,DevOps/SysAdmin|Back-end Developer,Sometimes
1081,2,0.0,0.0,No,I am not sure,No,No,I don't know,4,Maybe,Yes,No,No,No,No,1,Yes,Maybe,Yes,No,Somewhat not open,No,Yes,No,Yes,Yes,0,Rarely,Often,2,Male,Other,9,Front-end Developer,Always
1082,3,1.0,1.0,Yes,Yes,Yes,I don't know,I don't know,2,Maybe,No,No,Maybe,Yes,No,1,Maybe,No,Yes,Yes,Somewhat open,Yes,Yes,Yes,Yes,Yes,1,Rarely,Often,3,Female,USA,3,Front-end Developer,Sometimes
1083,3,1.0,1.0,No,I am not sure,No,No,I don't know,0,Yes,Maybe,No,No,No,No,1,No,No,Yes,Yes,Not open at all,Yes,I don't know,No,Maybe,No,0,Not applicable to me,Never,3,Female,Other,9,Back-end Developer,Sometimes
1085,5,0.0,0.0,I don't know,No,No,I don't know,I don't know,2,Maybe,Maybe,No,Maybe,No,No,1,Maybe,Maybe,No,No,Very open,No,Yes,No,No,No,0,Not applicable to me,Not applicable to me,2,Female,USA,5,Full track,Sometimes
1087,1,1.0,1.0,Not eligible for coverage / N/A,I am not sure,I don't know,I don't know,I don't know,1,No,No,Yes,Yes,Yes,No,1,Maybe,No,No,No,Very open,No,Yes,Yes,Yes,Yes,1,Rarely,Often,2,Female,USA,2,Other|Back-end Developer,Always
1090,5,1.0,1.0,Yes,Yes,No,Yes,I don't know,5,Yes,Maybe,No,No,No,No,1,No,No,Yes,Yes,Somewhat open,No,I don't know,Yes,Maybe,Yes,1,Sometimes,Sometimes,3,Female,USA,3,Other,Sometimes
1091,3,1.0,1.0,Yes,I am not sure,No,No,I don't know,5,Yes,Yes,No,No,No,Yes,1,No,No,Yes,Yes,Somewhat open,Maybe,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,2,Female,USA,1,Dev Evangelist/Advocate,Sometimes
1092,6,0.0,0.0,Yes,I am not sure,I don't know,Yes,I don't know,2,No,No,Maybe,Yes,No,No,1,Maybe,Maybe,Yes,Maybe,Somewhat open,Yes,Yes,Yes,Yes,Yes,1,Sometimes,Often,4,Male,USA,3,Other,Sometimes
1094,6,1.0,1.0,Not eligible for coverage / N/A,I am not sure,No,No,I don't know,3,Maybe,Maybe,No,Yes,I don't know,No,1,No,No,Yes,Maybe,Neutral,Yes,Yes,Yes,No,Yes,0,Not applicable to me,Not applicable to me,3,Male,Australia,9,Other|Supervisor/Team Lead|DevOps/SysAdmin|Back-end Developer|Support,Sometimes
1095,6,0.0,0.0,Yes,I am not sure,Yes,I don't know,I don't know,3,Maybe,No,Yes,Maybe,I don't know,No,1,Yes,No,Maybe,Maybe,Somewhat open,Maybe,I don't know,Yes,Yes,Yes,1,Rarely,Often,4,Male,UK,9,Other|Front-end Developer|Designer|One-person shop,Sometimes
1096,1,1.0,1.0,Not eligible for coverage / N/A,No,No,No,No,4,Yes,No,Maybe,Maybe,Yes,No,1,No,No,Maybe,Maybe,Somewhat open,No,Yes,Yes,No,No,0,Sometimes,Often,3,Male,UK,9,Supervisor/Team Lead|Executive Leadership,Sometimes
1099,4,1.0,1.0,I don't know,I am not sure,No,No,I don't know,3,Maybe,Maybe,No,Maybe,I don't know,No,1,Maybe,No,Yes,Yes,Somewhat open,Maybe,I don't know,Maybe,Maybe,Yes,1,Rarely,Sometimes,4,Male,Other,9,Front-end Developer,Sometimes
1100,6,0.0,0.0,Yes,I am not sure,I don't know,Yes,Yes,3,Yes,Maybe,No,No,Yes,No,1,Yes,No,Yes,Maybe,Neutral,No,Yes,Yes,Yes,Yes,1,Sometimes,Often,3,Male,USA,1,Full track,Never
1101,6,0.0,0.0,I don't know,I am not sure,Yes,Yes,I don't know,1,No,No,Maybe,Yes,Yes,No,1,No,No,No,No,Not applicable to me (I do not have a mental illness),No,No,No,No,No,0,Not applicable to me,Not applicable to me,3,Female,UK,9,Support,Never
1103,4,1.0,1.0,Yes,I am not sure,No,Yes,Yes,5,Yes,Yes,Maybe,No,I don't know,No,1,No,No,Yes,Yes,Somewhat not open,Maybe,Yes,Yes,Yes,Yes,1,Rarely,Often,3,Male,USA,7,DevOps/SysAdmin,Sometimes
1105,1,1.0,1.0,No,I am not sure,No,No,Yes,4,No,No,No,No,I don't know,No,1,No,No,Yes,Yes,Not applicable to me (I do not have a mental illness),Maybe,No,No,No,No,0,Not applicable to me,Not applicable to me,2,Male,Canada,9,Front-end Developer,Never
1106,3,1.0,1.0,Yes,I am not sure,No,No,Yes,2,Maybe,No,No,No,I don't know,No,1,Maybe,No,Maybe,Maybe,Neutral,Maybe,I don't know,No,Yes,Yes,0,Sometimes,Sometimes,2,Male,Canada,9,Other,Always
1109,2,1.0,1.0,No,I am not sure,No,No,I don't know,1,No,No,Yes,Yes,Yes,No,1,Yes,Maybe,Maybe,Maybe,Somewhat open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,4,Female,USA,8,Supervisor/Team Lead|Front-end Developer|Back-end Developer|Support|DevOps/SysAdmin,Sometimes
1110,2,1.0,1.0,No,I am not sure,No,No,I don't know,4,Maybe,No,Maybe,No,I don't know,No,1,No,No,Yes,No,Not open at all,I am not sure,I don't know,No,Maybe,No,0,Not applicable to me,Not applicable to me,2,Male,Other,9,Back-end Developer,Never
1111,2,0.0,0.0,No,No,No,No,I don't know,5,Maybe,No,Maybe,Maybe,I don't know,No,1,Yes,Maybe,Maybe,Maybe,Very open,Yes,No,Maybe,Maybe,No,0,Sometimes,Sometimes,3,Male,UK,9,Other|Supervisor/Team Lead|Dev Evangelist/Advocate|DevOps/SysAdmin|Support|Back-end Developer|Front-end Developer|One-person shop,Sometimes
1112,6,1.0,1.0,No,I am not sure,Yes,Yes,Yes,2,Yes,Yes,No,No,Yes,No,1,No,No,Yes,Yes,Somewhat not open,Maybe,No,No,No,No,0,Never,Often,3,Male,Germany,9,Full track,Never
1113,3,1.0,1.0,I don't know,No,No,I don't know,I don't know,2,No,No,Yes,Yes,I don't know,No,1,Yes,Yes,Maybe,Maybe,Not applicable to me (I do not have a mental illness),No,No,No,No,No,0,Not applicable to me,Not applicable to me,2,Male,USA,1,Back-end Developer,Sometimes
1114,4,1.0,1.0,I don't know,Yes,No,No,I don't know,3,Maybe,No,Maybe,No,No,No,1,Yes,Maybe,Maybe,Maybe,Somewhat open,Maybe,Yes,Yes,Yes,Yes,1,Rarely,Often,4,Male,USA,6,Back-end Developer,Sometimes
1115,2,1.0,1.0,No,I am not sure,No,No,I don't know,1,No,No,Maybe,Yes,I don't know,No,0,Yes,Maybe,No,Maybe,Somewhat open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,2,Male,Netherlands,9,Supervisor/Team Lead|Back-end Developer|Front-end Developer,Never
1116,4,1.0,1.0,Not eligible for coverage / N/A,I am not sure,No,No,Yes,3,Maybe,No,Maybe,Maybe,I don't know,No,1,Maybe,No,No,Maybe,Somewhat open,No,I don't know,Yes,Maybe,Yes,1,Never,Often,3,Male,Other,9,Full track,Sometimes
1117,4,0.0,0.0,No,No,Yes,No,Yes,4,Yes,Maybe,Yes,Yes,No,Yes,1,Maybe,Maybe,Maybe,Maybe,Somewhat not open,Yes,No,No,No,No,1,Often,Often,6,Female,USA,1,Support|Back-end Developer,Sometimes
1118,4,0.0,0.0,I don't know,I am not sure,Yes,Yes,I don't know,1,Maybe,No,No,Yes,Yes,No,1,Maybe,Maybe,Maybe,No,Very open,No,Yes,Yes,Yes,Yes,1,Often,Often,2,Male,Netherlands,9,Back-end Developer,Sometimes
1119,2,1.0,1.0,No,Yes,No,No,No,3,Yes,Maybe,No,No,No,Yes,1,No,No,Yes,Yes,Somewhat open,Yes,Yes,Yes,Yes,Yes,1,Often,Often,4,Male,USA,5,Other,Sometimes
1120,4,0.0,0.0,I don't know,I am not sure,No,No,I don't know,4,Yes,No,No,Maybe,I don't know,No,0,Yes,Maybe,Yes,Yes,Somewhat not open,No,I don't know,No,Maybe,No,0,Not applicable to me,Not applicable to me,2,Male,Other,9,Supervisor/Team Lead,Never
1121,4,0.0,0.0,Yes,Yes,Yes,Yes,Yes,1,No,Maybe,Maybe,Yes,No,Yes,1,No,No,Maybe,Maybe,Somewhat open,No,Yes,Yes,No,Yes,1,Rarely,Sometimes,5,Male,USA,2,Supervisor/Team Lead,Never
1122,6,1.0,1.0,Yes,Yes,No,I don't know,I don't know,4,Yes,Maybe,No,No,I don't know,No,1,No,No,Yes,Yes,Somewhat not open,Maybe,No,Yes,Yes,Yes,1,Sometimes,Often,2,Male,USA,1,Back-end Developer,Never
1123,3,1.0,1.0,Yes,Yes,No,No,I don't know,3,Yes,Maybe,Maybe,No,No,No,0,Maybe,Maybe,Maybe,No,Somewhat not open,Maybe,Yes,Maybe,Maybe,No,0,Not applicable to me,Often,2,Male,USA,2,Full track,Never
1125,3,1.0,1.0,Yes,Yes,No,No,I don't know,0,Yes,No,No,No,I don't know,No,1,No,No,Maybe,Yes,Somewhat open,No,Yes,Yes,Yes,Yes,1,Sometimes,Often,3,Female,USA,3,Designer,Sometimes
1126,2,1.0,1.0,Yes,No,No,No,Yes,5,Yes,Maybe,No,No,I don't know,No,1,No,No,Yes,Yes,Somewhat not open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,5,Male,USA,3,Executive Leadership,Always
1127,6,0.0,0.0,Yes,Yes,No,I don't know,I don't know,2,No,No,Maybe,Yes,Yes,No,1,No,No,Yes,Maybe,Very open,Maybe,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,3,Male,USA,3,Supervisor/Team Lead|Back-end Developer|Front-end Developer,Never
1128,2,1.0,1.0,No,I am not sure,No,No,I don't know,4,Maybe,No,No,Maybe,I don't know,No,1,Maybe,No,Maybe,Maybe,Somewhat open,Yes,Yes,Yes,Yes,Yes,1,Rarely,Often,2,Female,USA,5,Other,Sometimes
1129,4,0.0,0.0,I don't know,No,I don't know,Yes,Yes,0,Yes,Maybe,No,No,I don't know,No,1,No,No,Yes,Yes,Not open at all,Maybe,Yes,Maybe,Maybe,No,0,Not applicable to me,Sometimes,3,Male,USA,5,DevOps/SysAdmin,Sometimes
1130,1,1.0,1.0,Yes,No,No,No,I don't know,5,Maybe,No,Yes,Maybe,Yes,No,1,Yes,No,Yes,Yes,Somewhat not open,Maybe,Yes,Yes,No,Yes,0,Rarely,Sometimes,3,Male,Other,9,Back-end Developer,Sometimes
1131,2,1.0,1.0,Yes,Yes,No,No,Yes,0,Maybe,No,No,Maybe,I don't know,No,1,Yes,No,Maybe,Maybe,Somewhat open,No,Yes,Maybe,Maybe,No,0,Not applicable to me,Sometimes,3,Male,USA,2,Front-end Developer|Designer,Sometimes
1132,4,1.0,1.0,I don't know,I am not sure,No,I don't know,I don't know,4,Maybe,No,Maybe,Maybe,I don't know,No,1,Maybe,No,Yes,Maybe,Somewhat open,Yes,Yes,Yes,Yes,Yes,1,Often,Often,2,Female,USA,5,Back-end Developer,Sometimes
1133,3,1.0,1.0,Yes,Yes,No,No,Yes,3,Maybe,No,Yes,Yes,No,No,1,No,No,Yes,Yes,Somewhat open,Yes,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,4,Male,USA,6,Other,Sometimes
1134,6,0.0,0.0,Yes,Yes,No,Yes,Yes,2,Maybe,Maybe,Yes,Yes,Yes,No,1,Maybe,No,Maybe,Maybe,Somewhat open,Maybe,Yes,Yes,Yes,Yes,1,Sometimes,Often,2,Female,USA,5,Front-end Developer,Sometimes
1135,6,0.0,0.0,Yes,Yes,Yes,Yes,I don't know,3,Maybe,No,Yes,Maybe,No,No,1,Yes,No,Yes,Maybe,Very open,Yes,Yes,Yes,Yes,Yes,1,Rarely,Often,3,Male,USA,5,Support,Never
1136,6,0.0,0.0,Yes,Yes,Yes,Yes,I don't know,0,Yes,Maybe,No,No,I don't know,No,1,Maybe,No,Yes,Yes,Somewhat not open,Maybe,Yes,Yes,Maybe,Yes,1,Rarely,Sometimes,4,Female,USA,6,Front-end Developer,Sometimes
1137,6,0.0,0.0,Not eligible for coverage / N/A,I am not sure,No,I don't know,I don't know,5,Yes,Maybe,No,No,No,No,1,No,No,Yes,Maybe,Somewhat open,Yes,Yes,Yes,Yes,Yes,1,Never,Often,3,Female,USA,2,Front-end Developer,Sometimes
1139,6,1.0,1.0,I don't know,No,No,No,I don't know,0,Maybe,No,Yes,Yes,No,No,1,Yes,Yes,Yes,Maybe,Very open,Maybe,No,No,No,No,0,Not applicable to me,Not applicable to me,3,Male,USA,6,Back-end Developer|Dev Evangelist/Advocate,Sometimes
1141,1,1.0,1.0,Not eligible for coverage / N/A,I am not sure,No,No,I don't know,4,Maybe,No,Maybe,Maybe,No,No,1,Maybe,No,Maybe,Maybe,Somewhat open,Maybe,No,Yes,Maybe,Yes,1,Sometimes,Sometimes,2,Male,Other,9,Full track,Never
1142,4,1.0,1.0,Yes,Yes,No,No,I don't know,1,No,No,Yes,Yes,Yes,No,1,Maybe,Maybe,No,No,Very open,No,Yes,Yes,Yes,Yes,1,Rarely,Often,3,Male,USA,1,Dev Evangelist/Advocate,Never
1143,3,1.0,1.0,I don't know,I am not sure,No,I don't know,I don't know,2,No,No,Yes,Yes,I don't know,No,1,No,No,Maybe,Maybe,Somewhat open,No,I don't know,Yes,No,Yes,1,Sometimes,Sometimes,4,Male,USA,2,Back-end Developer,Always
1144,3,1.0,1.0,Yes,I am not sure,No,I don't know,I don't know,1,Maybe,No,Yes,Yes,I don't know,No,1,Maybe,Maybe,Maybe,Maybe,Very open,Maybe,I don't know,Maybe,Yes,Yes,1,Sometimes,Often,3,Male,USA,4,Supervisor/Team Lead|Support|Back-end Developer|Front-end Developer,Always
1145,3,1.0,1.0,Yes,No,No,No,I don't know,1,Maybe,No,Maybe,Maybe,Yes,No,1,No,No,Yes,Yes,Not open at all,Yes,No,No,Maybe,No,0,Not applicable to me,Not applicable to me,3,Male,USA,6,Supervisor/Team Lead|Back-end Developer|Front-end Developer|Designer,Sometimes
1146,3,1.0,1.0,I don't know,I am not sure,No,Yes,I don't know,1,Maybe,No,Yes,Yes,Yes,No,1,Maybe,Maybe,Maybe,Maybe,Somewhat open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,2,Male,USA,3,Full track,Always
1147,3,1.0,1.0,I don't know,No,No,I don't know,I don't know,4,Maybe,Maybe,No,No,I don't know,No,1,No,No,Yes,Yes,Not applicable to me (I do not have a mental illness),Maybe,No,No,No,No,0,Not applicable to me,Not applicable to me,4,Male,USA,4,Back-end Developer,Always
1148,3,1.0,1.0,I don't know,No,No,No,Yes,1,Maybe,No,Maybe,Maybe,I don't know,No,0,No,No,Maybe,Maybe,Very open,No,Yes,No,No,No,0,Not applicable to me,Not applicable to me,2,Male,USA,6,Supervisor/Team Lead|DevOps/SysAdmin|Back-end Developer,Sometimes
1149,3,1.0,1.0,Yes,No,No,Yes,Yes,1,No,No,Yes,Yes,Yes,No,1,No,No,No,No,Neutral,No,No,No,No,No,0,Not applicable to me,Not applicable to me,4,Female,USA,6,Other,Sometimes
1150,4,1.0,1.0,I don't know,No,No,No,Yes,1,No,No,Yes,Yes,Yes,No,1,Maybe,Maybe,No,Maybe,Somewhat open,Maybe,No,No,No,No,0,Not applicable to me,Not applicable to me,3,Male,USA,5,Dev Evangelist/Advocate|DevOps/SysAdmin|Back-end Developer,Always
1151,3,1.0,1.0,I don't know,No,No,I don't know,Yes,0,Maybe,Maybe,No,No,I don't know,No,1,No,No,Yes,Maybe,Not applicable to me (I do not have a mental illness),No,No,No,No,No,0,Not applicable to me,Not applicable to me,3,Male,USA,7,Back-end Developer,Always
1152,3,1.0,1.0,I don't know,No,No,No,I don't know,1,No,No,Yes,Yes,Yes,No,1,Yes,Maybe,Maybe,Maybe,Very open,Maybe,No,No,No,No,0,Not applicable to me,Not applicable to me,2,Male,USA,6,DevOps/SysAdmin|Support|Back-end Developer,Sometimes
1153,3,1.0,1.0,Yes,I am not sure,No,No,Yes,2,No,No,Maybe,Maybe,I don't know,No,1,Yes,Maybe,No,Maybe,Somewhat open,Maybe,Yes,Yes,Yes,Yes,1,Sometimes,Often,3,Male,USA,6,Back-end Developer,Sometimes
1154,2,1.0,1.0,I don't know,I am not sure,No,No,I don't know,4,Yes,No,No,No,I don't know,No,1,No,No,Yes,Yes,Not applicable to me (I do not have a mental illness),No,I don't know,No,No,No,0,Not applicable to me,Not applicable to me,3,Female,USA,5,Full track,Never
1155,3,1.0,1.0,Yes,No,No,I don't know,I don't know,1,Maybe,No,Maybe,Yes,Yes,No,1,No,No,Maybe,Maybe,Somewhat not open,Maybe,Yes,Maybe,No,No,0,Rarely,Sometimes,4,Male,USA,7,DevOps/SysAdmin|Back-end Developer|Front-end Developer,Always
1156,3,1.0,1.0,Yes,I am not sure,No,No,I don't know,5,Maybe,No,No,No,I don't know,No,1,Maybe,No,Yes,Maybe,Somewhat not open,No,Yes,Yes,Yes,Yes,1,Often,Often,3,Male,USA,3,Other,Always
1157,6,0.0,0.0,I don't know,No,I don't know,Yes,I don't know,0,Yes,Maybe,No,No,I don't know,No,1,No,No,Yes,Yes,Somewhat not open,No,I don't know,Maybe,No,No,1,Not applicable to me,Not applicable to me,3,Female,USA,5,Full track,Sometimes
1158,3,1.0,1.0,Yes,No,I don't know,Yes,Yes,2,No,No,Maybe,Yes,Yes,No,1,No,No,Maybe,No,Not open at all,Yes,No,No,Maybe,No,0,Never,Rarely,3,Male,USA,7,Back-end Developer,Always
1159,1,1.0,1.0,I don't know,I am not sure,Yes,I don't know,Yes,1,No,No,Yes,Yes,Yes,No,1,Yes,Maybe,Maybe,No,Very open,No,I don't know,Maybe,Maybe,Yes,1,Rarely,Sometimes,2,Male,USA,5,DevOps/SysAdmin|Support|Back-end Developer,Sometimes
1160,5,0.0,0.0,No,No,No,No,No,3,Yes,Maybe,No,No,I don't know,No,1,No,No,Yes,Yes,Somewhat not open,Yes,Yes,No,No,No,0,Not applicable to me,Not applicable to me,2,Male,USA,5,Supervisor/Team Lead|DevOps/SysAdmin|Support,Sometimes
1161,4,1.0,1.0,I don't know,No,No,I don't know,I don't know,1,No,No,Maybe,Maybe,Yes,No,1,Yes,Yes,No,No,Not applicable to me (I do not have a mental illness),No,No,No,No,No,0,Not applicable to me,Not applicable to me,3,Male,USA,6,Other|Supervisor/Team Lead|DevOps/SysAdmin|Support|Front-end Developer|Back-end Developer,Always
1162,6,0.0,0.0,Yes,Yes,No,I don't know,I don't know,5,Maybe,No,Maybe,Maybe,No,No,1,No,No,Yes,Yes,Neutral,Yes,Yes,Yes,Yes,Yes,1,Rarely,Often,3,Female,USA,2,Supervisor/Team Lead,Sometimes
1163,6,1.0,1.0,No,I am not sure,No,No,I don't know,1,Maybe,Maybe,No,No,No,No,1,No,No,Yes,Yes,Neutral,No,Yes,Yes,Yes,Yes,1,Sometimes,Sometimes,2,Male,Other,9,Other,Never
1164,2,1.0,1.0,No,I am not sure,No,No,Yes,1,No,No,Yes,Yes,Yes,No,1,Yes,Yes,Yes,No,Very open,Yes,Yes,Yes,Yes,Yes,1,Often,Often,3,Male,Other,9,Dev Evangelist/Advocate,Sometimes
1165,3,1.0,1.0,Yes,Yes,Yes,Yes,Yes,5,Yes,Maybe,No,No,No,No,1,No,No,Yes,Maybe,Somewhat open,Maybe,I don't know,Maybe,Maybe,No,1,Not applicable to me,Sometimes,2,Female,USA,3,Full track,Never
1166,6,0.0,0.0,Yes,Yes,Yes,Yes,Yes,2,No,No,Yes,Yes,Yes,No,1,Yes,Maybe,No,No,Very open,No,Yes,Yes,Yes,Yes,1,Sometimes,Sometimes,3,Female,USA,6,Other,Sometimes
1167,6,1.0,1.0,Not eligible for coverage / N/A,I am not sure,No,I don't know,I don't know,5,Yes,Yes,No,No,No,Yes,1,No,No,Yes,Yes,Somewhat not open,Yes,Yes,Yes,Yes,Yes,1,Sometimes,Sometimes,5,Female,USA,5,Other,Sometimes
1168,6,0.0,0.0,I don't know,No,No,No,I don't know,5,Maybe,No,No,No,No,No,1,No,No,Yes,Yes,Very open,Maybe,Yes,Yes,No,Yes,1,Never,Sometimes,4,Male,Other,9,Executive Leadership,Sometimes
1169,6,1.0,1.0,Yes,Yes,No,Yes,I don't know,5,Yes,No,No,No,No,No,1,Maybe,No,Yes,Yes,Somewhat open,Yes,Yes,Yes,Yes,Yes,1,Rarely,Often,4,Male,USA,1,Supervisor/Team Lead|DevOps/SysAdmin|Back-end Developer|Front-end Developer,Never
1170,6,1.0,1.0,I don't know,No,No,I don't know,Yes,3,Maybe,No,No,Maybe,No,No,1,Maybe,No,Yes,Yes,Somewhat open,Maybe,No,Yes,No,Yes,1,Sometimes,Sometimes,3,Male,USA,3,Supervisor/Team Lead|Back-end Developer|DevOps/SysAdmin,Never
1171,3,1.0,1.0,I don't know,No,No,No,Yes,1,No,No,Maybe,Yes,Yes,No,1,Maybe,Maybe,Maybe,No,Somewhat open,Yes,No,No,No,No,0,Not applicable to me,Not applicable to me,4,Male,UK,9,Front-end Developer,Sometimes
1174,6,0.0,0.0,Not eligible for coverage / N/A,I am not sure,Yes,No,I don't know,1,No,No,No,No,Yes,No,0,No,No,No,Maybe,Not open at all,No,I don't know,No,Yes,No,1,Rarely,Often,2,Male,Other,9,Back-end Developer|One-person shop,Sometimes
1175,6,0.0,0.0,Yes,Yes,No,No,I don't know,5,Maybe,Maybe,Maybe,Maybe,No,No,1,No,No,Maybe,Maybe,Somewhat open,Maybe,Yes,Yes,Yes,Yes,1,Never,Sometimes,3,Male,USA,1,Full track,Sometimes
1176,1,1.0,1.0,I don't know,No,No,No,Yes,2,No,No,Yes,Yes,Yes,No,1,Yes,Maybe,No,No,Somewhat open,No,Yes,No,Maybe,No,0,Never,Rarely,2,Male,Other,9,Front-end Developer|Back-end Developer|DevOps/SysAdmin,Never
